"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Other Devices and Systems","LG App Monitoring Security Solution V1.0 for webOS TV","LG ELECTRONICS Co., Ltd.","KR","EAL2","","06/23/2022","06/23/2027","http://www.commoncriteriaportal.org:80/files/epfiles/[KECS-CR-22-32] LG App Monitoring Security Solution V1.0 for webOS TV Certification Report.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/LG App Monitoring Security Solution V1.0 for webOS TV Security Target V1.7.pdf","","","",""
"Other Devices and Systems","Argrace IoT Security Communication Module (BLE+ Wi-Fi) v2.0A-009","Hangzhou Yaguan Technology Co. Ltd (HYT)","MY","EAL2+,ALC_FLR.1","","06/07/2022","06/07/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C126-CR-v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST of Argrace IoT Security Communication Module (BLE + Wi-Fi)_v1.5.0422.pdf","","","",""
"Other Devices and Systems","Vertiv CYBEX™ SC845DPH, SC945DPH, SC845DPHC, SC945DPHC, SCM145DPH, SCM185DPH, SC985DPH, SCMV245DPH, SCMV285DPH Firmware Version 44444-E7E7 Peripheral Sharing Devices","Vertiv IT Systems","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","06/03/2022","06/03/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11288-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11288-st.pdf","","","",""
"Other Devices and Systems","Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4","RSA Security LLC","MY","EAL2+,ALC_FLR.2","","05/17/2022","05/17/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C124-CR-v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4 _ST_v1.0-final.pdf","03/02/2023","Archer Suite v6.11 with the Archer IRM Mobile V1.4","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-M019-AMR-v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/RSA Archer 6.11.0.3 ST v1.0.pdf"
"Other Devices and Systems","Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4","RSA Security LLC","MY","EAL2+,ALC_FLR.2","","05/17/2022","05/17/2027","http://www.commoncriteriaportal.org:80/files/epfiles/ISCB-5-RPT-C124-CR-v1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/Archer Suite v6.9.1.2 with the Archer IRM Mobile V1.4 _ST_v1.0-final.pdf","","","",""
"Other Devices and Systems","Adder AVS-4112, AVS-2112, AVS-4114, AVS-4214, AVS-2114, AVS-2214, AVS-4128, AVS-4124, AVS-1124, AVS-4224 Firmware Version 44404-E7E7 Peripheral Sharing Devices","Adder Technology Ltd","CA","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","04/20/2022","04/20/2027","http://www.commoncriteriaportal.org:80/files/epfiles/539-EWA CR Adder CFG1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/539-EWA ST v1.5.pdf","","","",""
"Other Devices and Systems","RISE Konnektor V5.0","Research Industrial Systems Engineering &#x28;RISE&#x29; Forschungs-, Entwicklungs- und Gro&szlig;projekteberatung GmbH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3","","04/14/2022","04/14/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1189a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1189b_pdf.pdf","","","",""
"Other Devices and Systems","Huawei MindSpore 1.2","Huawei Technologies Co., Ltd.","NL","EAL2+,ALC_FLR.2","","04/04/2022","04/04/2027","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0415138-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0415138-ST_v1.3.6.pdf","","","",""
"Other Devices and Systems","KoCoBox MED+ Konnektor, Version 4.2.16","KoCo Connector GmbH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.3","","03/16/2022","03/15/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1068V2a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1068V2b_pdf.pdf","","","",""
"Other Devices and Systems","KoCoBox MED+ Netzkonnektor, 2.3.24","KoCo Connector GmbH","DE","EAL3+,ADV_FSP.4,ADV_IMP.1,ADV_TDS.3,ALC_FLR.2,ALC_TAT.1,AVA_VAN.5","BSI-CC-PP-0097-V2-2020","03/16/2022","03/16/2027","http://www.commoncriteriaportal.org:80/files/epfiles/1067V2a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1067V2b_pdf.pdf","","","",""
"Other Devices and Systems","Distributed Services Platform v1.28.0-E-96","Pensando Systems, Inc.","IT","EAL2+,ALC_FLR.2","","03/11/2022","03/11/2027","http://www.commoncriteriaportal.org:80/files/epfiles/cr_pensando_dsp128_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_pensando_dsp128_v0.6.pdf","","","",""
"Other Devices and Systems","ATEN Secure KVM Switch Series (CAC Models)","ATEN International Co., LTD","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","03/10/2022","03/10/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11221-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11221-st.pdf","","","",""
"Other Devices and Systems","ATEN Secure KVM Switch Series (Non-CAC Models)","ATEN International Co., LTD","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","03/10/2022","03/10/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11222-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11222-st.pdf","","","",""
"Other Devices and Systems","IOGEAR Secure KVM Switch Series (CAC Models)","IOGEAR","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","03/10/2022","03/10/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11223-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11223-st.pdf","","","",""
"Other Devices and Systems","IOGEAR Secure KVM Switch Series (Non-CAC Models)","IOGEAR","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","03/10/2022","03/10/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11224-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11224-st.pdf","","","",""
"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG","DE","EAL4+,ALC_FLR.2,AVA_VAN.5","SMARTMETERGATEWAYPP_V1.3","03/08/2022","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4b_pdf.pdf","03/30/2022","CONEXA 3.0 Version 1.3, Software: v3.60.1-cc, Hardware: HW V01.00","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4ma1a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4ma1b_pdf.pdf"
"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG","DE","EAL4+,ALC_FLR.2,AVA_VAN.5","SMARTMETERGATEWAYPP_V1.3","03/08/2022","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4b_pdf.pdf","06/15/2022","CONEXA 3.0 Version 1.3, SW: v3.60.1-cc, HW: V01.00","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4ma2a_pdf.pdf",""
"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG","DE","EAL4+,ALC_FLR.2,AVA_VAN.5","SMARTMETERGATEWAYPP_V1.3","03/08/2022","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4b_pdf.pdf","08/02/2022","CONEXA 3.0 Version 1.3, Software: v3.60.4-cc, 
Hardware: HW V01.00","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4ma3a_pdf.pdf",""
"Other Devices and Systems","CONEXA 3.0 Version 1.3","Theben AG","DE","EAL4+,ALC_FLR.2,AVA_VAN.5","SMARTMETERGATEWAYPP_V1.3","03/08/2022","03/07/2030","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V4b_pdf.pdf","","","",""
"Other Devices and Systems","NetApp Element Software 12.2 on SolidFire Appliances","NetApp, Inc.","CA","EAL2+,ALC_FLR.2","","03/08/2022","03/08/2027","http://www.commoncriteriaportal.org:80/files/epfiles/550-LSS CR v1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/550-LSS ST v1.0.pdf","","","",""
"Other Devices and Systems","Huawei OceanStor 100D Storage System Software v8.0.3","Huawei Technologies Co. Ltd.","ES","EAL3+,ALC_FLR.2","","03/05/2022","03/05/2027","http://www.commoncriteriaportal.org:80/files/epfiles/2020-53-INF-3711.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2020-53-ST.pdf","","","",""
"Other Devices and Systems","Kaspersky Security Center (version 13.0.0.11247)","AO Kaspersky Lab","IT","EAL2+,ALC_FLR.1","","01/31/2022","01/31/2027","http://www.commoncriteriaportal.org:80/files/epfiles/cr_ksc13_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_ksc13_v2.02.pdf","","","",""
"Other Devices and Systems","Vertiv CYBEX™ SCUSBHIDFILTER Firmware Version 40404-0E7 and Vertiv CYBEX™ SCKM140PP4 KM Switch Firmware Version 40404-0E7","Vertiv IT Systems","US","None","MOD_KM_V1.0,PP_PSD_V4.0","01/31/2022","01/31/2027","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11254-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11254-st1.pdf","","","",""
"Other Devices and Systems","Kaspersky Endpoint Security for Windows (version 11.6.0.394 AES256)","AO Kaspersky Lab","IT","EAL2+,ALC_FLR.1","","01/26/2022","01/26/2027","http://www.commoncriteriaportal.org:80/files/epfiles/cr_kes116_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_lite_kes116_v2.04.pdf","","","",""
"Other Devices and Systems","Belkin F1DN002MOD-KM-4, F1DN004MOD-KM-4 and F1DN-FLTR-HID-4 Firmware Version 40404-0E7 Peripheral Sharing Devices","Belkin International, Inc.","CA","None","MOD_KM_V1.0,PP_PSD_V4.0","01/24/2022","01/24/2027","http://www.commoncriteriaportal.org:80/files/epfiles/535-EWA CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/ST 1.6 Belkin_CFG_PSD-KM_Combined_ST_1.6.pdf","","","",""
"Other Devices and Systems","CONEXA 3.0 Version 1.2","Theben AG","DE","EAL4+,ALC_FLR.2,AVA_VAN.5","SMARTMETERGATEWAYPP_V1.3","01/24/2022","01/23/2030","http://www.commoncriteriaportal.org:80/files/epfiles/0918V3a.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0918V3b.pdf","","","",""
"Other Devices and Systems","Red Hat Virtualization v4.3","Red Hat, Inc.","IT","EAL2+,ALC_FLR.3","","01/18/2022","01/18/2027","http://www.commoncriteriaportal.org:80/files/epfiles/cr_red_hat_virtualization_43_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_red_hat_virtualization_43_v2.3.pdf","","","",""
"Other Devices and Systems","Cisco HyperFlex 3.5(2a) Systems HX Series","Cisco Systems, Inc.","NL","EAL2","","01/13/2022","01/13/2027","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-215885-cr2-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-215885_2-st.pdf","","","",""
"Other Devices and Systems","fiskaly Cloud Crypto Service Provider 1.3.0","fiskaly GmbH","DE","EAL2+,ALC_CMS.3,ALC_LCD.1","","12/17/2021","12/17/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1153V3a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1153V3b_pdf.pdf","","","",""
"Other Devices and Systems","D-TRUST Web-Dienst TSE-SMAERS for DF Fiskal Cloud Connect Version 1.3.3","D-Trust GmbH","DE","EAL2,ALC_CMC.3,ALC_LCD.1","BSI-PP-0105-V2","12/15/2021","12/14/2029","http://www.commoncriteriaportal.org:80/files/epfiles/1166a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1166b_pdf.pdf","","","",""
"Other Devices and Systems","Huawei OptiX OSN 9800 V100R020C10 Software Management Component V100R020C10SPC300","Huawei Technologies Co., Ltd.","NL","EAL4+,ALC_FLR.2","","12/13/2021","12/13/2026","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0351849-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0351849-ST.pdf","","","",""
"Other Devices and Systems","Black Box Secure KM Switch (CAC Models)","Black Box, Inc.","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,PP_PSD_V4.0","12/10/2021","12/10/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11242-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11242-st.pdf","","","",""
"Other Devices and Systems","Black Box Secure KVM Switch (Non-CAC Models)","Black Box, Inc.","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","12/10/2021","12/10/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11241-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11241-st.pdf","","","",""
"Other Devices and Systems","Black Box Secure KVM Switch/Isolator (CAC Models)","Black Box, Inc.","US","None","","12/10/2021","12/10/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11240-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11240-st1.pdf","","","",""
"Other Devices and Systems","HUAWEI MA5800 Software Management Component V100R020C10SPC301","Huawei Technologies Co., Ltd.","NL","EAL4+,ALC_FLR.2","","12/09/2021","12/09/2026","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0351844-CR-1.0.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NSCIB-CC-0351844-ST.pdf","","","",""
"Other Devices and Systems","fiskaly Security Module Application for Electronic Record-keeping Systems, Version 1.0.6","fiskaly GmbH","DE","EAL2,ALC_CMS.3,ALC_LCD.1","BSI-PP-0105-V2","12/03/2021","12/02/2029","http://www.commoncriteriaportal.org:80/files/epfiles/1130V2a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1130V2b_pdf.pdf","","","",""
"Other Devices and Systems","Smart TV Security Solution V6.0 for Samsung Knox","Samsung Electronics Co., Ltd.","KR","EAL1","","11/22/2021","11/22/2026","http://www.commoncriteriaportal.org:80/files/epfiles/[KECS-CR-21-66] Smart TV Security Solution V6.0 for Samsung Knox Certification Report.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/[ENG] Smart TV Security Solution_V6.0_for_Samsung_Knox_Security_Target_Lite_V1.1.pdf","","","",""
"Other Devices and Systems","Vertiv CYBEX™ SC820DPH, SC840DPH, SC920DPH, SC940DPH, SC840DPHC, SC940DPHC, SC840DVI, SC940DVI Firmware Version 44404-E7E7 Peripheral Sharing Devices","Vertiv IT Systems","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","11/19/2021","11/19/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11252-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11252-st.pdf","","","",""
"Other Devices and Systems","SMAERS for a.sign TSE Online, Version 1.2.0","A-Trust Gesellschaft für Sicherheitssysteme im elektronischen Datenverkehr GmbH","DE","EAL2,ALC_CMS.3,ALC_LCD.1","BSI-PP-0105-V2","11/11/2021","11/10/2029","http://www.commoncriteriaportal.org:80/files/epfiles/1140a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1140b_pdf.pdf","","","",""
"Other Devices and Systems","D-TRUST Web-Dienst TSE-CSP, Version 1.1.1","D-Trust GmbH","DE","EAL2+,ALC_CMS.3,ALC_LCD.1","BSI-DSZ-CC-PP-0112-2020,BSI-DSZ-CC-PP-0113-2020,BSI-PP-0111","11/10/2021","11/10/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1139V3a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1139V3b_pdf.pdf","","","",""
"Other Devices and Systems","Huawei 3900 Series LTE eNodeB Core Software V100R015C10SPC270","Huawei Technologies Co. Ltd.","ES","EAL4+,ALC_FLR.1","","11/04/2021","11/04/2026","http://www.commoncriteriaportal.org:80/files/epfiles/2019-34 INF-3639.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2019-34 ST.pdf","","","",""
"Other Devices and Systems","EGA Application Firmware v2.0 for SSR Type I, SSR Type II with/without SAS, SSR Type III","EGA Elektronik G&uuml;venlik Altyap&#x131;s&#x131; A.&#x15e;.","TR","EAL4+,ALC_DVS.2","","11/02/2021","11/02/2026","http://www.commoncriteriaportal.org:80/files/epfiles/139-CR.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/139-ST.pdf","","","",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, Document Application Version 2.4.6; (Firmware Vers. 1.3.28, HW Vers. 0)","Bundesdruckerei GmbH","DE","EAL3","DMT-PP","10/27/2021","10/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1181a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1181b_pdf.pdf","03/09/2022","Bundesdruckerei Document Application with tamper-evident casing, Document Application Version 2.4.6; (Firmware Vers. 1.3.28, HW Vers. 0)","http://www.commoncriteriaportal.org:80/files/epfiles/1181MA01a_pdf.pdf",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, Document Application Version 2.4.6; (Firmware Vers. 1.3.28, HW Vers. 0)","Bundesdruckerei GmbH","DE","EAL3","DMT-PP","10/27/2021","10/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1181a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1181b_pdf.pdf","","","",""
"Other Devices and Systems","Bundesdruckerei Document Application with tamper-evident casing, Document Application Version 2.4.6; (Firmware Vers. 1.3.28, HW Vers. 0)","Bundesdruckerei GmbH","DE","EAL3","CC_PP_INSPEC_SYS_V1.01","10/27/2021","10/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1181a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1181b_pdf.pdf","","","",""
"Other Devices and Systems","Vertiv CYBEX™ SCMDR0001 Multi-Domain Smart Card Reader Firmware Version 40040-0E7","Vertiv IT Systems","US","None","MOD_UA_V1.0,PP_PSD_V4.0","10/22/2021","10/22/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11145-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11145-st.pdf","","","",""
"Other Devices and Systems","Huawei iMaster NCE V100R020C10 for NCE-Fabric, NCE-FabricInsight, NCE-CampusInsight, NCE-WAN Version V100R20C10SPC100 and iMaster NCE V300R020C10 for NCE-Campus Version V300R020C10SPC100","Huawei Technologies Co., Ltd.","NL","EAL4+,ALC_FLR.2","","09/20/2021","09/20/2026","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0351632-cr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/nscib-cc-0351632-st.pdf","","","",""
"Other Devices and Systems","SK41D-4TR KVM, Firmware Version 44404-E7E7","High Sec Labs, Inc.","US","None","MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","09/15/2021","09/15/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11193-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11193-st.pdf","","","",""
"Other Devices and Systems","Zeta Server v1.1.1","Prolan Power Zrt.","IT","None","PP_APP_V1.3","09/07/2021","09/07/2026","http://www.commoncriteriaportal.org:80/files/epfiles/cr_zeta_zerver_111_v1.0_en.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_zeta_zerver_111_v1.3.pdf","","","",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","12/15/2021","SMGW, Version 1.2.1","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ma1a_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","02/15/2022","SMGW, Version 1.2.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ma1a_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","03/04/2022","SMGW, Version 1.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ma3_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","09/04/2023","SMGW, Version 1.2
SMGW, Version 1.2.1
SMGW, Version 1.2.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ra01a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ra01b_pdf.pdf"
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","06/27/2024","SMGW, Version 1.2, Version 1.2.1 and Version 1.2.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ma4a_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","03/11/2025","SMGW, Version 1.2, Version 1.2.1 and Version 1.2.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ma5a_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","09/04/2025","BSI-DSZ-CC-0831-V4-2021-RA-02
SMGW, Version 1.2
SMGW, Version 1.2.1
SMGW, Version 1.2.2","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4ra02a_pdf.pdf",""
"Other Devices and Systems","SMGW Version 1.2","Power Plus Communications AG","DE","EAL4+,AVA_VAN.5,ALC_FLR.2","SMARTMETERGATEWAYPP_V1.3","09/05/2021","09/05/2029","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0831V4b_pdf.pdf","","","",""
"Other Devices and Systems","Sekuryx Secure KVM Switch (CAC Models)","Sekuryx, Inc.","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","09/03/2021","09/03/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11168-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11168-st.pdf","","","",""
"Other Devices and Systems","Sekuryx Secure KVM Switch (Non-CAC Models)","Sekuryx, Inc.","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","09/03/2021","09/03/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11169-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11169-st.pdf","","","",""
"Other Devices and Systems","Tripp Lite Secure KVM Switch (CAC Models)","Trippe Manufacturing Company","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_UA_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","09/01/2021","09/01/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11166-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11166-st.pdf","","","",""
"Other Devices and Systems","Tripp Lite Secure KVM Switch (Non-CAC Models)","Trippe Manufacturing Company","US","None","MOD_AO_V1.0,MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","09/01/2021","09/01/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11167-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11167-st.pdf","","","",""
"Other Devices and Systems","ePA Modul Frontend des Versicherten v1.0.7","CompuGroup Medical Deutschland AG","DE","EAL2","","08/27/2021","08/26/2026","http://www.commoncriteriaportal.org:80/files/epfiles/1159a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/1159b_pdf.pdf","","","",""
"Other Devices and Systems","Vertiv CYBEX™ SCMV2160DPH, SC840DVIE, SC940DVIE, SC840HE, SC940HE, SC840DPE, SC940DPE Firmware Version 44404-E7E7 Peripheral Sharing Devices","ZTE Corporation","US","None","MOD_KM_V1.0,MOD_VI_V1.0,PP_PSD_V4.0","08/27/2021","08/27/2026","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11122-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11122-st.pdf","01/25/2022","Vertiv CYBEX™ SCMV2160DPH, SC840DVIE, SC940DVIE, SC840HE, SC940HE, SC840DPE, SC940DPE Firmware Version 44404-E7E7 Peripheral Sharing Devices","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11122-add1.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid11122-st.pdf"
